Player,D-PER
A'ja Wilson,4.7
Angel Reese,3.3
Dearica Hamby,3.2
Napheesa Collier,3.6
Jonquel Jones,3.1
Tina Charles,2.8
Breanna Stewart,3.3
Aliyah Boston,2.7
Alyssa Thomas,2.7
Azurá Stevens,2.6
Ezi Magbegor,3.0
Nneka Ogwumike,2.7
DeWanna Bonner,2.4
Caitlin Clark,2.4
NaLyssa Smith,2.4
Satou Sabally,2.3
Teaira McCowan,2.3
Shakira Austin,2.4
Kamilla Cardoso,2.3
Brittney Griner,2.3
Natasha Howard,2.3
Courtney Williams,1.9
Elizabeth Williams,2.5
Aaliyah Edwards,1.9
Alanna Smith,2.3
Stefanie Dolson,1.7
Cameron Brink,2.5
Kiah Stokes,1.8
Monique Billings,1.7
Monique Billings,1.7
Monique Billings,1.7
Kahleah Copper,1.6
Arike Ogunbowale,2.1
Jewell Loyd,1.8
Marina Mabrey,1.8
Sabrina Ionescu,1.7
DiJonai Carrington,1.9
Jackie Young,1.6
Natasha Cloud,1.9
Cheyenne Parker-Tyus,1.6
Myisha Hines-Allen,1.5
Rhyne Howard,2.0
Sophie Cunningham,1.6
Natasha Mack,1.8
Diana Taurasi,1.4
Brionna Jones,1.7
Brittney Sykes,1.6
Allisha Gray,1.7
Gabby Williams,1.8
Temi Fagbenle,1.5
