Player,2024 Salary
Arike Ogunbowale,241984.0
Kahleah Copper,241984.0
Jewell Loyd,241984.0
Diana Taurasi,234936.0
Natasha Howard,234350.0
A'ja Wilson,227303.0
Alyssa Thomas,218000.0
Marina Mabrey,217592.0
Napheesa Collier,215469.0
Azurá Stevens,215000.0
Kelsey Mitchell,212000.0
Brionna Jones,212000.0
DeWanna Bonner,209593.0
Skylar Diggins-Smith,208219.0
Kayla McBride,208000.0
Breanna Stewart,205000.0
Nneka Ogwumike,204500.0
Erica Wheeler,202154.0
Sabrina Ionescu,202000.0
Brittney Sykes,200000.0
Kelsey Plum,200000.0
Natasha Cloud,200000.0
Ariel Atkins,200000.0
Chelsea Gray,196267.0
Teaira McCowan,195700.0
Satou Sabally,195000.0
Courtney Vandersloot,194670.0
Jonquel Jones,190000.0
Sophie Cunningham,189500.0
Dearica Hamby,189000.0
Jordin Canada,185000.0
Allisha Gray,185000.0
Stefanie Dolson,185000.0
Myisha Hines-Allen,180200.0
Katie Lou Samuelson,175000.0
Courtney Williams,175000.0
Jackie Young,169950.0
Elizabeth Williams,165000.0
Mercedes Russell,160000.0
Rebecca Allen,160000.0
Isabelle Harrison,160000.0
Aerial Powers,155000.0
Ezi Magbegor,155000.0
Brianna Turner,150000.0
Alanna Smith,150000.0
Brittney Griner,150000.0
Nia Coffey,150000.0
Kia Nurse,142500.0
Moriah Jefferson,141500.0
Sami Whitcomb,140000.0
Tiffany Mitchell,139050.0
Tina Charles,130000.0
Bridget Carleton,125000.0
Kalani Brown,125000.0
Rae Burrell,125000.0
Karlie Samuelson,125000.0
Natisha Hiedeman,120000.0
Stephanie Talbot,115000.0
Kayla Thornton,110000.0
Alysha Clark,110000.0
Kiah Stokes,100000.0
Diamond DeShields,100000.0
Layshia Clarendon,100000.0
Shatori Walker-Kimbrough,97850.0
Damiris Dantas,97100.0
Tyasha Harris,97100.0
Rachel Banham,95000.0
Megan Gustafson,94000.0
Lindsay Allen,90000.0
Aari McDonald,89302.0
Tiffany Hayes,88000.0
Michaela Onyenwere,85690.0
Victoria Vivians,85000.0
Rhyne Howard,80943.0
Shakira Austin,80943.0
NaLyssa Smith,80943.0
Lexie Brown,80340.0
DiJonai Carrington,78469.0
Dana Evans,78469.0
Lexie Hull,77669.0
Caitlin Clark,76535.0
Sydney Colson,76535.0
Stephanie Soares,76535.0
Kennedy Burke,76535.0
Kamilla Cardoso,76535.0
Rickea Jackson,76535.0
Chennedy Carter,76535.0
Cameron Brink,76535.0
Temi Fagbenle,76535.0
Maddy Siegrist,75792.0
Diamond Miller,75792.0
Aliyah Boston,75792.0
Kierstan Bell,74398.0
Angel Reese,73439.0
Jacy Sheldon,73439.0
Aaliyah Edwards,73439.0
Alissa Pili,73439.0
Grace Berger,72727.0
Lou Lopez Sénéchal,72727.0
Haley Jones,72727.0
Nyara Sabally,72727.0
Laeticia Amihere,72727.0
Olivia Nelson-Ododa,71124.0
Kristy Wallace,71124.0
Naz Hillmon,71124.0
Marquesha Davis,70344.0
Jordan Horston,69663.0
Zia Cooke,69663.0
Nika Mühl,67249.0
Leonie Fiebich,67249.0
Kate Martin,67249.0
Dorka Juhász,66597.0
Li Yueru,64767.0
Olivia Epoupa,64154.0
Victaria Saxton,64154.0
Ivana Dojkić,64154.0
Jaelyn Brown,64154.0
DiDi Richards,64154.0
Sug Sutton,64154.0
Emily Engstler,64154.0
Cecilia Zandalasini,64154.0
Jade Melbourne,64154.0
Julie Vanloo,64154.0
Mikiah Herbert Harrigan,64154.0
Sevgi Uzun,64154.0
Sika Koné,64154.0
Natasha Mack,64154.0
Lorela Cubaj,64154.0
Joyner Holmes,61380.0
Veronica Burton,50180.0
Charisma Osborne,45098.0
Maya Caldwell,36841.0
Crystal Dangerfield,36436.0
Monique Billings,35237.0
Kiana Williams,32395.0
Liz Dixon,32395.0
Kysre Gondrezick,30489.0
Celeste Taylor,29962.0
Emma Cannon,27280.0
Gabby Williams,23491.0
Morgan Bertsch,19056.0
Queen Egbo,18415.0
Jaylyn Sherrod,17150.0
Odyssey Sims,15912.0
Caitlin Bickle,13339.0
Dulcy Fankam Mendjiadeu,13188.0
Jessika Carter,10798.0
Dyaisha Fair,9987.0
Taylor Soule,8893.0
Destanni Henderson,8892.0
Amy Atwell,8892.0
Jakia Brown-Turner,8892.0
Kaela Davis,5304.0
Ezinne Kalu,1270.0
