Player,PTS,AST,ORB,O_PER
Luka Doncic,32.66,9.39,,14.0
Giannis Antetokounmpo,30.44,6.52,2.68,13.2
Nikola Jokic,26.69,8.92,2.92,12.8
Shai Gilgeous-Alexander,30.07,6.22,,12.1
Jalen Brunson,29.26,6.84,,12.0
LeBron James,25.74,8.28,,11.3
Devin Booker,27.1,6.89,,11.3
Donovan Mitchell,27.06,5.85,,11.0
Tyrese Maxey,26.16,6.23,,10.8
De'Aaron Fox,26.64,5.64,,10.8
Kevin Durant,27.08,4.95,,10.7
Anthony Davis,25.01,3.51,3.19,10.6
Jayson Tatum,26.47,5.19,,10.6
Damian Lillard,24.68,6.86,,10.5
Anthony Edwards,26.21,5.36,,10.5
Stephen Curry,26.37,5.08,,10.5
Domantas Sabonis,19.43,8.18,3.55,10.4
Tyrese Haliburton,19.87,10.42,,10.1
Cade Cunningham,22.66,7.48,,10.0
Zion Williamson,23.11,5.03,1.76,10.0
Kyrie Irving,24.68,5.15,,9.9
Paolo Banchero,22.91,5.28,1.1,9.8
DeMar DeRozan,23.96,5.36,,9.8
Dejounte Murray,22.57,6.44,,9.7
Alperen Sengun,21.13,4.95,2.9,9.7
Kawhi Leonard,23.39,3.54,1.24,9.4
Scottie Barnes,19.85,6.05,2.35,9.4
Jaylen Brown,23.19,3.49,1.19,9.3
Pascal Siakam,21.69,4.19,1.87,9.3
Victor Wembanyama,21.44,3.86,2.27,9.2
Jimmy Butler,20.74,4.97,1.75,9.2
Jamal Murray,21.08,6.35,,9.1
Kyle Kuzma,22.19,4.23,,8.8
Paul George,22.35,3.64,,8.7
Karl-Anthony Towns,21.21,2.96,1.65,8.6
Brandon Ingram,20.34,5.51,,8.6
Terry Rozier,19.75,5.61,,8.5
James Harden,16.91,8.49,,8.5
Cam Thomas,22.45,2.91,,8.5
Fred VanVleet,17.4,8.07,,8.5
Miles Bridges,21.0,3.35,1.03,8.5
Bam Adebayo,19.27,3.87,2.23,8.5
Franz Wagner,19.66,3.8,1.04,8.2
Nikola Vucevic,18.08,3.35,2.73,8.1
Coby White,19.31,5.12,,8.1
CJ McCollum,19.57,4.63,,8.1
D'Angelo Russell,17.76,6.22,,8.0
Darius Garland,17.62,6.41,,8.0
Jaren Jackson Jr.,22.52,,1.29,7.9
Jalen Williams,19.04,4.64,,7.9
