Player,DRB,BLK,STL,D-PER
A'ja Wilson,9.8,2.6,1.8,4.7
Angel Reese,8.1,0.5,1.3,3.3
Dearica Hamby,7.7,0.2,1.7,3.2
Napheesa Collier,7.5,1.4,1.9,3.6
Jonquel Jones,7.3,1.3,0.8,3.1
Tina Charles,7.1,0.5,0.9,2.8
Breanna Stewart,6.9,1.3,1.7,3.3
Aliyah Boston,6.1,1.2,0.9,2.7
Alyssa Thomas,6.0,0.5,1.6,2.7
Azurá Stevens,6.0,0.9,0.9,2.6
Ezi Magbegor,5.8,2.2,1.1,3.0
Nneka Ogwumike,5.7,0.5,1.9,2.7
DeWanna Bonner,5.4,0.7,1.2,2.4
Caitlin Clark,5.3,0.7,1.3,2.4
NaLyssa Smith,5.3,1.0,0.8,2.4
Satou Sabally,5.2,0.5,1.3,2.3
Teaira McCowan,5.2,0.9,0.8,2.3
Shakira Austin,5.1,0.9,1.3,2.4
Kamilla Cardoso,4.9,1.5,0.5,2.3
Brittney Griner,4.8,1.5,0.5,2.3
Natasha Howard,4.8,0.8,1.3,2.3
Courtney Williams,4.3,0.4,0.9,1.9
Elizabeth Williams,4.2,1.7,1.7,2.5
Aaliyah Edwards,4.2,0.8,0.7,1.9
Alanna Smith,4.1,1.5,1.4,2.3
Stefanie Dolson,4.1,0.5,0.5,1.7
Cameron Brink,4.1,2.3,1.1,2.5
Kiah Stokes,4.1,0.8,0.5,1.8
Monique Billings,4.0,0.5,0.7,1.7
Monique Billings,4.0,0.5,0.7,1.7
Monique Billings,4.0,0.5,0.7,1.7
Kahleah Copper,3.9,0.1,0.8,1.6
Arike Ogunbowale,3.8,0.3,2.1,2.1
Jewell Loyd,3.8,0.2,1.4,1.8
Marina Mabrey,3.8,0.4,1.1,1.8
Sabrina Ionescu,3.7,0.3,1.0,1.7
DiJonai Carrington,3.7,0.4,1.6,1.9
Jackie Young,3.6,0.2,1.0,1.6
Natasha Cloud,3.6,0.6,1.4,1.9
Cheyenne Parker-Tyus,3.6,0.4,0.8,1.6
Myisha Hines-Allen,3.6,0.1,0.7,1.5
Rhyne Howard,3.5,0.6,1.8,2.0
Sophie Cunningham,3.5,0.3,1.0,1.6
Natasha Mack,3.5,1.2,0.7,1.8
Diana Taurasi,3.4,0.3,0.6,1.4
Brionna Jones,3.4,0.6,1.2,1.7
Brittney Sykes,3.4,0.4,0.9,1.6
Allisha Gray,3.3,0.7,1.1,1.7
Gabby Williams,3.3,0.3,1.7,1.8
Temi Fagbenle,3.3,0.7,0.5,1.5
